"isbn10_left","final_price","rating","reviews_count","list_id","list_name","list_updated","title","author","description","url","isbn10","rating2","published_date"
"074324754X","13.15","4.6 out of 5 stars","16213","4","Paperback Nonfiction","WEEKLY","THE GLASS CASTLE","Jeannette Walls","The author recalls how she and her siblings were constantly moved from one bleak place to another.","http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBSREV-20","074324754X","4.6","2023-10-01"
"125030170X","13.32","4.5 out of 5 stars","92537","17","Trade Fiction Paperback","WEEKLY","THE SILENT PATIENT","Alex Michaelides","Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.","https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20","125030170X","4.5","2023-10-01"
"1501110365","9.47","4.7 out of 5 stars","45404","17","Trade Fiction Paperback","WEEKLY","IT ENDS WITH US","Colleen Hoover","A battered wife raised in a violent home attempts to halt the cycle of abuse.","http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20","1501110365","4.7","2023-10-01"
"1501161938","9.42","4.6 out of 5 stars","39573","17","Trade Fiction Paperback","WEEKLY","THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","A movie icon recounts stories of her loves and career to a struggling magazine writer.","https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20","1501161938","4.6","2023-10-01"
"1250144051","4.41","4.7 out of 5 stars","10216","10015","Middle Grade Paperback Monthly","MONTHLY","WISH","Barbara O'Connor","","https://www.amazon.com/Wish-Barbara-OConnor/dp/1250144051?tag=NYTBSREV-20","1250144051","4.7","2023-10-01"
"0547577311","7.64","4.8 out of 5 stars","13442","10015","Middle Grade Paperback Monthly","MONTHLY","A LONG WALK TO WATER","Linda Sue Park","","http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=NYTBSREV-20","0547577311","4.8","2023-10-01"
"0374533555","11.29","4.6 out of 5 stars","22138","4","Paperback Nonfiction","WEEKLY","THINKING, FAST AND SLOW","Daniel Kahneman","When we can and cannot trust our intuitions in making business and personal decisions.","http://www.amazon.com/Thinking-Fast-Slow-Daniel-Kahneman-ebook/dp/B00555X8OA?tag=NYTBSREV-20","0374533555","4.6","2023-10-01"
"0385376715","8.55","4.9 out of 5 stars","18752","7","Picture Books","WEEKLY","THE WONDERFUL THINGS YOU WILL BE","Emily Winfield Martin","A celebration of future possibilities.","http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20","0385376715","4.9","2023-10-01"
"0374533555","11.29","4.6 out of 5 stars","22138","532","Business Books","MONTHLY","THINKING, FAST AND SLOW","Daniel Kahneman","","http://www.amazon.com/Thinking-Fast-Slow-Daniel-Kahneman-ebook/dp/B00555X8OA?tag=NYTBSREV-20","0374533555","4.6","2023-10-01"
"1538724731","13.08","4.6 out of 5 stars","42924","17","Trade Fiction Paperback","WEEKLY","VERITY","Colleen Hoover","Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.","https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20","1538724731","4.6","2023-10-01"
